global_id,name,device,technique,operator,sample_global_id,sample_name,description,spot_global_id,spot_attachment_file_global_id,spot_x_image,spot_y_image,SiO2 (ug/g),SiO2_error,Li (ng/g),Li_error,Sr (ng/g),Sr_error,d17O (ug/g),d17O_error,d18O (ug/g),d18O_error,TiO2 (ug/g),TiO2_error,Al2O3 (ug/g),Al2O3_error,Cr2O3 (ug/g),Cr2O3_error,FeO (cg/g),FeO_error,MnO (ug/g),MnO_error,NiO (ug/g),NiO_error,MgO (cg/g),MgO_error,CaO (ug/g),CaO_error,Na2O (ug/g),Na2O_error,K2O (ug/g),K2O_error,P2O5 (ug/g),P2O5_error,H2O (ug/g),H2O_error,C (ug/g),C_error,S (cg/g),S_error,F (ug/g),F_error,Cl (ug/g),Cl_error,total (cg/g),total_error,SO3 (ug/g),SO3_error,Y (ng/g),Y_error,Zr (ng/g),Zr_error,Nb (ng/g),Nb_error,Ba (ng/g),Ba_error,La (ng/g),La_error,Ce (ng/g),Ce_error,Pr (ng/g),Pr_error,Nd (ng/g),Nd_error,Sm (ng/g),Sm_error,Eu (ng/g),Eu_error,Gd (ng/g),Gd_error,Dy (ng/g),Dy_error,Er (ng/g),Er_error,Yb (ng/g),Yb_error,Lu (ng/g),Lu_error,Hf (ng/g),Hf_error,nNa (ug/g),nNa_error,nMg (cg/g),nMg_error,nAl (cg/g),nAl_error,nTi (cg/g),nTi_error,nCr (cg/g),nCr_error,nMn (ug/g),nMn_error,nFe (cg/g),nFe_error,nP (cg/g),nP_error,nCl (cg/g),nCl_error,nCa (cg/g),nCa_error
20131030170934-047642,ys_ol_CBK1a@92,Cameca ims 5f,,,20130528105407-768847,TS CBK-1-a,,20131030170938-209916,20131030170552-848416,495.0,-801.0,377000.0,0.0,799.567812447683,11.8578614638738,126.701809692799,23.2381186776062,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20131030170939-134760,ys_ol_CBK1a@93,Cameca ims 5f,,,20130528105407-768847,TS CBK-1-a,,20131030170944-603550,20131030170552-848416,509.0,-733.0,377000.0,0.0,2079.79433233075,19.8159533849279,125.773640518778,18.1980004308968,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20131101141746-803979,ys_ol_CBK1a@100,Cameca ims 5f,,,20130528105407-768847,TS CBK-1-a,,20131101141753-379791,20131030170552-848416,638.0,-97.0,377000.0,0.0,2497.08544367903,40.7527977868999,523.781740906719,29.9676613771723,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20131101142641-938067,ys_ol_CBK1a@101,Cameca ims 5f,,,20130528105407-768847,TS CBK-1-a,,20131101142646-804536,20131030170558-538091,494.0,-127.0,377000.0,0.0,2200.58682730615,42.8534334443062,6229.56368270122,147.758905119769,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20131030170600-230817,ys_ol_CBK1a@102,Cameca ims 5f,,,20130528105407-768847,TS CBK-1-a,,20131030170604-953328,20131030170558-538091,531.0,-223.0,377000.0,0.0,1200.32086703016,11.0276203982627,1716.48081146148,48.8021955664251,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20131030170605-783369,ys_ol_CBK1a@103,Cameca ims 5f,,,20130528105407-768847,TS CBK-1-a,,20131030170609-928532,20131030170558-538091,617.0,-333.0,377000.0,0.0,1462.96039981953,17.8165398331933,1644.18894871462,70.279900355799,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20131030170610-702803,ys_ol_CBK1a@104,Cameca ims 5f,,,20130528105407-768847,TS CBK-1-a,,20131030170615-353764,20131030170558-538091,605.0,-441.0,377000.0,0.0,761.521858594542,13.1531498007287,373.901726016138,27.9295729244976,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20131030170616-320312,ys_ol_CBK1a@105,Cameca ims 5f,,,20130528105407-768847,TS CBK-1-a,,20131030170620-833527,20131030170558-538091,590.0,-538.0,377000.0,0.0,1646.57748280538,24.7440302946089,675.306988448136,37.7290171718798,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20131030170621-509159,ys_ol_CBK1a@106,Cameca ims 5f,,,20130528105407-768847,TS CBK-1-a,,20131030170625-623091,20131030170558-538091,580.0,-636.0,377000.0,0.0,3160.47754849682,22.0552733842201,1718.94552847928,98.1763358484615,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20131030170626-870426,ys_ol_CBK1a@107,Cameca ims 5f,,,20130528105407-768847,TS CBK-1-a,,20131030170630-169469,20131030170558-538091,531.0,-720.0,377000.0,0.0,5421.12961636584,38.1005718103456,169.265323336977,15.571979048239,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
