global_id,name,device,technique,operator,sample_global_id,sample_name,description,spot_global_id,spot_attachment_file_global_id,spot_x_image,spot_y_image,Sr (ng/g),Sr_error,Li (ng/g),Li_error,SiO2 (ug/g),SiO2_error,d18O (ug/g),d18O_error,d17O (ug/g),d17O_error,Cl (ug/g),Cl_error,F (ug/g),F_error,S (cg/g),S_error,C (ug/g),C_error,H2O (ug/g),H2O_error,P2O5 (ug/g),P2O5_error,K2O (ug/g),K2O_error,Na2O (ug/g),Na2O_error,CaO (ug/g),CaO_error,MgO (cg/g),MgO_error,NiO (ug/g),NiO_error,MnO (ug/g),MnO_error,FeO (cg/g),FeO_error,Cr2O3 (ug/g),Cr2O3_error,Al2O3 (ug/g),Al2O3_error,TiO2 (ug/g),TiO2_error,total (cg/g),total_error,SO3 (ug/g),SO3_error
20131030170934-047642,ys_ol_CBK1a@92,Cameca ims 5f,,,20130528105407-768847,TS CBK-1-a,,20131030170938-209916,20131030170552-848416,495.0,-801.0,126.701809692799,23.2381186776062,799.5678124476829,11.8578614638738,377000.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20131030170939-134760,ys_ol_CBK1a@93,Cameca ims 5f,,,20130528105407-768847,TS CBK-1-a,,20131030170944-603550,20131030170552-848416,509.0,-733.0,125.77364051877802,18.1980004308968,2079.79433233075,19.815953384927894,377000.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20131101141746-803979,ys_ol_CBK1a@100,Cameca ims 5f,,,20130528105407-768847,TS CBK-1-a,,20131101141753-379791,20131030170552-848416,638.0,-97.0,523.781740906719,29.9676613771723,2497.08544367903,40.7527977868999,377000.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20131101142641-938067,ys_ol_CBK1a@101,Cameca ims 5f,,,20130528105407-768847,TS CBK-1-a,,20131101142646-804536,20131030170558-538091,494.0,-127.0,6229.56368270122,147.75890511976905,2200.58682730615,42.85343344430619,377000.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20131030170600-230817,ys_ol_CBK1a@102,Cameca ims 5f,,,20130528105407-768847,TS CBK-1-a,,20131030170604-953328,20131030170558-538091,531.0,-223.0,1716.48081146148,48.8021955664251,1200.32086703016,11.0276203982627,377000.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20131030170605-783369,ys_ol_CBK1a@103,Cameca ims 5f,,,20130528105407-768847,TS CBK-1-a,,20131030170609-928532,20131030170558-538091,617.0,-333.0,1644.18894871462,70.279900355799,1462.96039981953,17.816539833193296,377000.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20131030170610-702803,ys_ol_CBK1a@104,Cameca ims 5f,,,20130528105407-768847,TS CBK-1-a,,20131030170615-353764,20131030170558-538091,605.0,-441.0,373.9017260161379,27.929572924497595,761.521858594542,13.1531498007287,377000.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20131030170616-320312,ys_ol_CBK1a@105,Cameca ims 5f,,,20130528105407-768847,TS CBK-1-a,,20131030170620-833527,20131030170558-538091,590.0,-538.0,675.306988448136,37.72901717187979,1646.57748280538,24.744030294608898,377000.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20131030170621-509159,ys_ol_CBK1a@106,Cameca ims 5f,,,20130528105407-768847,TS CBK-1-a,,20131030170625-623091,20131030170558-538091,580.0,-636.0,1718.94552847928,98.17633584846148,3160.47754849682,22.055273384220097,377000.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20131030170626-870426,ys_ol_CBK1a@107,Cameca ims 5f,,,20130528105407-768847,TS CBK-1-a,,20131030170630-169469,20131030170558-538091,531.0,-720.0,169.265323336977,15.571979048239,5421.12961636584,38.1005718103456,377000.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
