technique,,LA-ICPMS,LA-ICPMS,LA-ICPMS,LA-ICPMS,LA-ICPMS,LA-ICPMS,LA-ICPMS,LA-ICPMS,LA-ICPMS,LA-ICPMS,LA-ICPMS,LA-ICPMS,LA-ICPMS,LA-ICPMS,LA-ICPMS,LA-ICPMS,LA-ICPMS,LA-ICPMS,LA-ICPMS,LA-ICPMS,LA-ICPMS,LA-ICPMS,LA-ICPMS,LA-ICPMS
instrument,,Thermo iCAP-Q,Thermo iCAP-Q,Thermo iCAP-Q,Thermo iCAP-Q,Thermo iCAP-Q,Thermo iCAP-Q,Thermo iCAP-Q,Thermo iCAP-Q,Thermo iCAP-Q,Thermo iCAP-Q,Thermo iCAP-Q,Thermo iCAP-Q,Thermo iCAP-Q,Thermo iCAP-Q,Thermo iCAP-Q,Thermo iCAP-Q,Thermo iCAP-Q,Thermo iCAP-Q,Thermo iCAP-Q,Thermo iCAP-Q,Thermo iCAP-Q,Thermo iCAP-Q,Thermo iCAP-Q,Thermo iCAP-Q
analyst,,KK,KK,KK,KK,KK,KK,KK,KK,KK,KK,KK,KK,KK,KK,KK,KK,KK,KK,KK,KK,KK,KK,KK,KK
session,,plgl-cbk6a-4-1,plgl-cbk6a-4-2,plgl-cbk6a-4-3,plgl-cbk6a-4-4,plgl-cbk6a-1-1,plgl-cbk6a-1-2,plgl-cbk6a-1-3,plgl-cbk6a-1-4,gl-cbk6a-20-1,gl-cbk6a-20-2,gl-cbk6a-20-3,gl-cbk6a-20-4,kfs-ok10vm-13-1,kfs-ok10vm-13-2,kfs-ok10vm-13-3,pl-ok10vm-13-1,pl-ok10vm-13-2,pl-ok10vm-13-3,pl-ok10vm-8-1,pl-ok10vm-8-2,pl-ok10vm-8-3,pl-ok10vm-8-4,pl-ok10vm-8-5,ap-ok10vm-8-1
stone-ID,,20130723170152-744520,20130723170152-744520,20130723170152-744520,20130723170152-744520,20130723170152-744520,20130723170152-744520,20130723170152-744520,20130723170152-744520,20130723170152-744520,20130723170152-744520,20130723170152-744520,20130723170152-744520,20130516113504-383207,20130516113504-383207,20130516113504-383207,20130516113504-383207,20130516113504-383207,20130516113504-383207,20130516113504-383207,20130516113504-383207,20130516113504-383207,20130516113504-383207,20130516113504-383207,20130516113504-383207
SiO2,cg/g,66,66,66,66,65,65,65,65,44,44,44,44,62,62,62,66,66,66,50,50,50,66,67,68
Li,ug/g,0.541408278,0.404703932,0.601408515,0.041767079,0.432508762,0.220799526,0.240839673,0.073507967,5.051764484,4.825863057,4.796155206,5.052869655,4.090013639,5.436321589,0.3126646,0.348463739,0.201162539,0.17486084,0,0,0.226772713,0.188798135,0.280261431,0.153356562
B,ug/g,0.453558098,1.228947292,3.023751234,0.244031804,1.913138518,1.437497273,2.020265193,0,1.727068779,1.056333861,1.320204956,1.524175387,0.420563848,2.049372407,1.432377404,1.611804194,1.983367621,1.436704415,0,0.026118918,0,1.001487487,0.895496177,8.635332904
Rb,ug/g,10.69822794,2.951823957,4.319165599,4.400092346,11.50756676,7.855936892,7.631795903,9.201719334,3.569754879,2.878885361,3.141195413,3.865415576,586.0390191,68.67814884,222.4195486,4.973521455,3.363375321,14.99206159,6.66338232,6.268914288,6.92074856,17.4635387,14.42771761,25.043247
Sr,ug/g,144.8449702,132.6105876,113.9163875,126.2447213,109.4617,94.4574366,97.38157235,130.6266989,9.584328677,8.341077052,9.519502975,11.54857115,69.31184536,15.62907787,92.47270632,13.2419623,13.79022701,58.69673411,148.2747579,146.3911094,100.6244895,159.3464895,167.5699539,534.4264274
Y,ug/g,0.306872662,0.29853369,0.598906832,0.067075679,0.057187166,0.834442824,0,1.287816399,5.567323797,2.696384909,6.397710745,3.693274762,0.530296045,1.484677862,1.574838784,11.84940252,11.71812961,5.727574615,0,0.062654517,0.132430824,3.838594456,0.245500782,95.31128128
Zr,ug/g,19.09427052,18.7764611,21.29926796,14.79149632,2.451199708,9.334211247,1.006110461,9.112276006,5.869796379,5.113068213,4.880799934,6.536353564,1.302374314,13.99354751,14.25224381,91.03908924,99.89837124,46.06212293,17.9159547,4.073314119,4.024502479,24.33574179,21.6210047,18.86432094
Nb,ug/g,12.00741904,13.79698729,7.92627365,9.327798808,0.502754653,0.356269455,0.565243765,0.504758934,0.305425976,0.30345218,0.358624323,0.374039219,0.748579455,0.203097223,0.328340427,0.310592469,0.41786351,0.256495842,17.34997193,5.28634452,2.740840818,3.449905416,5.006040764,2.312789204
