instrument		MAT 262	MAT 262	MAT 262
analyst		Tai	Tai	Tai
session		I1841	IC2414	I1902
bib-ID				
stone-ID		20121026084336-757-972	20111215092422-179-329	20121023090614-503-734
Hf176zHf177		7.93	7.66	7.78
Hf176zHf177_error		0.959	0.972	0.979
Lu176zHf177		1.6	1.58	1.79
Lu176zHf177_error		11.3	11.1	11.5
Nd143zNd144		193	195	195
Nd143zNd144_error		39.4	39.9	40.4
O17zO16		175	173	178
O17zO16_error		18.8	18.7	19.1
O18zO16		0.129	0.128	0.131
O18zO16_error		119	118	121
Pb206zPb204		14.8	14.9	15.3
Pb206zPb204_error		36.9	37	38
Pb207zPb204		5.13	5.08	5.2
Pb207zPb204_error		24.4	24.6	25.1
Pb208zPb204		6.34	6.37	6.43
Pb208zPb204_error		2.12	2.13	2.14
Sm147zNd144		7.8	7.82	7.91
Sm147zNd144_error		1.26	1.25	1.28
Sr87zSr86		8.03	8.05	8.18
Sr87zSr86_error		8.03	8.05	8.18
