uid,session,instrument,technique,analyst,analysed_at,sample_uid,bibliography_uid,sample_name,description,spot_image_uid,spot_image_path,spot_x_image,spot_y_image,Li (cg/g),Li_error,d7Li (cg/g),d7Li_error
,2992,,,,,,,,,,C:/Users/sims1270/Dropbox/Documents/pl-bytownite-c/spots/ys_pl_bytownite_c@2992@3027.jpg,79.311657,54.758412,190.0,,-1100.0,
,2993,,,,,,,,,,C:/Users/sims1270/Dropbox/Documents/pl-bytownite-c/spots/ys_pl_bytownite_c@2992@3027.jpg,79.311657,54.758412,170.0,,-611.0,
,2994,,,,,,,,,,C:/Users/sims1270/Dropbox/Documents/pl-bytownite-c/spots/ys_pl_bytownite_c@2992@3027.jpg,70.276248,54.392112,551.0,,-1840.0,
,2995,,,,,,,,,,C:/Users/sims1270/Dropbox/Documents/pl-bytownite-c/spots/ys_pl_bytownite_c@2992@3027.jpg,61.485039,54.147912,524.0,,-2950.0,
,2996,,,,,,,,,,C:/Users/sims1270/Dropbox/Documents/pl-bytownite-c/spots/ys_pl_bytownite_c@2992@3027.jpg,52.815931,54.025811,491.0,,-3270.0,
,2997,,,,,,,,,,C:/Users/sims1270/Dropbox/Documents/pl-bytownite-c/spots/ys_pl_bytownite_c@2992@3027.jpg,44.391022,53.903711,484.0,,-3180.0,
,2998,,,,,,,,,,C:/Users/sims1270/Dropbox/Documents/pl-bytownite-c/spots/ys_pl_bytownite_c@2992@3027.jpg,35.599813,53.903711,495.0,,-2830.0,
,2999,,,,,,,,,,C:/Users/sims1270/Dropbox/Documents/pl-bytownite-c/spots/ys_pl_bytownite_c@2992@3027.jpg,26.808605,53.781611,509.0,,-1940.0,
,3000,,,,,,,,,,C:/Users/sims1270/Dropbox/Documents/pl-bytownite-c/spots/ys_pl_bytownite_c@2992@3027.jpg,78.945357,45.356703,177.0,,-637.0,
,3001,,,,,,,,,,C:/Users/sims1270/Dropbox/Documents/pl-bytownite-c/spots/ys_pl_bytownite_c@2992@3027.jpg,70.154148,45.478803,661.0,,-1870.0,
,3002,,,,,,,,,,C:/Users/sims1270/Dropbox/Documents/pl-bytownite-c/spots/ys_pl_bytownite_c@2992@3027.jpg,61.607139,45.356703,641.0,,-2680.0,
,3003,,,,,,,,,,C:/Users/sims1270/Dropbox/Documents/pl-bytownite-c/spots/ys_pl_bytownite_c@2992@3027.jpg,52.938031,45.234603,482.0,,-2960.0,
,3004,,,,,,,,,,C:/Users/sims1270/Dropbox/Documents/pl-bytownite-c/spots/ys_pl_bytownite_c@2992@3027.jpg,44.391022,45.112503,479.0,,-2790.0,
,3005,,,,,,,,,,C:/Users/sims1270/Dropbox/Documents/pl-bytownite-c/spots/ys_pl_bytownite_c@2992@3027.jpg,35.721913,44.624102,440.0,,-2230.0,
